#{"t_start": 1786528689.3629901, "env_id": "None"}
r,l,t,true_completion_rate,cheat_rate,report_rate,audit_prob,steps_taken
2.35,150,1741.06442,0.2666666666666667,0.7692307692307693,0.8666666666666667,0.05,150
3.4,150,1741.440155,0.0,1.0,1.1428571428571428,0.05,150
-6.4,150,1741.949528,0.23076923076923073,0.8181818181818182,0.8461538461538461,0.05,150
2.05,150,1742.363898,0.3076923076923077,0.8,1.1538461538461537,0.05,150
2.55,150,1742.824459,0.2222222222222222,0.9166666666666666,1.3333333333333333,0.05,150
0.7,150,1743.250114,0.0,1.0,1.4,0.05,150
2.45,150,1744.814422,0.33333333333333337,0.8823529411764706,1.4166666666666667,0.05,150
2.75,150,1745.20111,0.15384615384615385,0.9473684210526315,1.4615384615384615,0.05,150
-13.6,150,1745.556558,0.36363636363636365,1.0,0.7272727272727273,0.05,150
-14.05,150,1745.91736,0.19999999999999996,0.0,0.2,0.05,150
2.05,150,1746.332039,0.15384615384615385,0.8666666666666667,1.1538461538461537,0.05,150
-18.65,150,1746.8286,0.25,0.8888888888888888,0.75,0.05,150
2.7,150,1747.257619,0.15384615384615385,0.8571428571428571,1.0769230769230769,0.05,150
3.6,150,1747.657703,0.19999999999999996,0.85,1.3333333333333333,0.05,150
2.75,150,1748.016299,0.0714285714285714,0.9473684210526315,1.3571428571428572,0.05,150
4.15,150,1748.662557,0.2666666666666667,0.9,1.3333333333333333,0.05,150
0.55,150,1749.095908,0.0,1.0,1.0,0.05,150
1.95,150,1749.470123,0.2727272727272727,0.8888888888888888,1.6363636363636365,0.05,150
2.65,150,1749.841315,0.2142857142857143,0.9,1.4285714285714286,0.05,150
4.65,150,1750.31681,0.375,0.8636363636363636,1.375,0.05,150
2.9,150,1751.832531,0.125,0.8461538461538461,0.8125,0.05,150
-18.5,150,1752.200653,0.33333333333333337,0.8,1.0,0.05,150
4.1,150,1752.558633,0.11111111111111116,0.8947368421052632,1.0555555555555556,0.05,150
